Unnamed: 0,date,close,high,low,volume,qav,Cross
239,2024-02-28 23:03:59.999,61576.14,61577.6,61568.45,0.18594,11448.9070968,
240,2024-02-28 23:04:00.999,61576.51,61576.51,61572.95,0.08417,5182.8625632,
241,2024-02-28 23:04:01.999,61576.5,61576.51,61576.07,0.01596,982.755309,
242,2024-02-28 23:04:02.999,61576.49,61576.5,61572.78,0.27583,16984.492492,
243,2024-02-28 23:04:03.999,61576.49,61576.49,61576.49,0.0,0.0,
244,2024-02-28 23:04:04.999,61572.83,61576.45,61572.83,0.09672,5955.4046094,
245,2024-02-28 23:04:05.999,61573.82,61573.82,61573.82,0.018,1108.32876,
246,2024-02-28 23:04:06.999,61576.52,61576.52,61576.52,0.0003,18.472956,
247,2024-02-28 23:04:07.999,61576.52,61576.52,61576.52,0.0,0.0,
248,2024-02-28 23:04:08.999,61578.47,61578.47,61575.86,0.15214,9368.1717686,
249,2024-02-28 23:04:09.999,61581.96,61582.04,61578.47,0.0218,1342.4445047,
250,2024-02-28 23:04:10.999,61578.28,61581.83,61578.28,0.00115,70.8163355,
251,2024-02-28 23:04:11.999,61578.64,61581.66,61578.64,0.06233,3838.1976832,
252,2024-02-28 23:04:12.999,61576.76,61581.62,61576.76,0.04588,2825.1743072,
253,2024-02-28 23:04:13.999,61576.76,61576.77,61576.76,0.03652,2248.7833752,
254,2024-02-28 23:04:14.999,61584.01,61584.03,61578.9,0.12161,7489.1009488,
255,2024-02-28 23:04:15.999,61584.03,61584.03,61584.01,0.20971,12914.7864291,
256,2024-02-28 23:04:16.999,61580.38,61584.31,61580.32,0.09742,5999.4670112,
257,2024-02-28 23:04:17.999,61584.15,61584.19,61580.38,0.1423,8763.2872775,
258,2024-02-28 23:04:18.999,61580.46,61581.74,61577.36,0.30406,18724.1030963,
259,2024-02-28 23:04:19.999,61580.46,61580.46,61577.37,0.02387,1469.9246532,
260,2024-02-28 23:04:20.999,61570.73,61580.34,61570.73,0.05833,3591.6362805,
261,2024-02-28 23:04:21.999,61576.1,61576.1,61575.07,0.08285,5101.5394487,
262,2024-02-28 23:04:22.999,61579.17,61579.17,61576.09,0.12052,7421.1884217,
263,2024-02-28 23:04:23.999,61580.0,61580.0,61576.72,0.01484,913.823066,
264,2024-02-28 23:04:24.999,61574.59,61579.84,61574.59,0.0085,523.42339,
265,2024-02-28 23:04:25.999,61579.62,61579.62,61579.62,0.00445,274.029309,
266,2024-02-28 23:04:26.999,61580.6,61580.6,61574.91,0.00047,28.9421497,
267,2024-02-28 23:04:27.999,61580.59,61580.59,61580.59,0.0003,18.474177,
268,2024-02-28 23:04:28.999,61580.72,61580.72,61580.67,0.0344,2118.376707,
269,2024-02-28 23:04:29.999,61584.04,61584.04,61578.3,0.06224,3832.9881388,
270,2024-02-28 23:04:30.999,61579.49,61584.63,61579.38,0.00272,167.5044214,
271,2024-02-28 23:04:31.999,61584.65,61584.65,61579.81,0.00529,325.7716001,
272,2024-02-28 23:04:32.999,61584.64,61584.64,61580.34,0.00442,272.2032918,
273,2024-02-28 23:04:33.999,61586.57,61586.57,61580.34,0.20948,12900.9928712,
274,2024-02-28 23:04:34.999,61586.6,61586.6,61586.57,0.09006,5546.4867135,
275,2024-02-28 23:04:35.999,61583.24,61587.29,61583.24,0.10065,6198.6308761,
276,2024-02-28 23:04:36.999,61586.32,61586.32,61583.22,0.01633,1005.7025596,
277,2024-02-28 23:04:37.999,61587.3,61587.31,61583.24,0.14822,9128.2999222,
278,2024-02-28 23:04:38.999,61587.31,61587.31,61583.35,0.28616,17623.8232747,
279,2024-02-28 23:04:39.999,61587.31,61587.31,61583.56,0.08223,5064.1791303,
280,2024-02-28 23:04:40.999,61590.0,61590.0,61583.86,0.17255,10626.9787207,
281,2024-02-28 23:04:41.999,61593.92,61594.12,61590.0,0.0757,4662.5448885,
282,2024-02-28 23:04:42.999,61594.13,61597.0,61587.63,0.22983,14155.8617696,
283,2024-02-28 23:04:43.999,61594.12,61594.12,61594.12,0.00054,33.2608248,
284,2024-02-28 23:04:44.999,61594.21,61598.48,61594.21,0.01157,712.6594918,
285,2024-02-28 23:04:45.999,61599.98,61599.99,61598.47,0.05124,3156.370381,
286,2024-02-28 23:04:46.999,61609.11,61613.0,61595.28,2.99799,184682.3258896,
287,2024-02-28 23:04:47.999,61614.0,61614.0,61612.78,0.10514,6478.0256703,
