TP,SL,Balance
4.616119252321317,3.772400063220922,1071.45
4.616119252321317,3.672400063220922,1077.0
4.716119252321318,3.672400063220922,1080.32
4.616119252321317,3.772400063220922,1071.45
4.616119252321317,3.672400063220922,1077.0
4.716119252321317,3.672400063220922,1080.32
4.616119252321317,3.772400063220922,1071.45
4.616119252321317,3.672400063220922,1077.0
4.716119252321317,3.672400063220922,1080.32
4.616119252321317,3.772400063220922,1071.45
4.616119252321317,3.672400063220922,1077.0
4.716119252321317,3.672400063220922,1080.32
4.616119252321317,3.772400063220922,1071.45
4.616119252321317,3.672400063220922,1077.0
4.716119252321317,3.672400063220922,1080.32
4.616119252321317,3.772400063220922,1071.45
9.0,2.0,981.534
9.350000000000001,2.0,986.107
9.0,2.35,960.144
9.739051781995613,-1.4568811757896913,969.313
10.089051781995614,-1.4568811757896913,956.894
9.739051781995613,-1.1068811757896908,974.585
9.26225676929203,0.7733058615445989,981.928
9.612256769292031,0.7733058615445989,981.585
9.26225676929203,1.1233058615445985,983.964
10.955468620292429,1.1953734769144653,977.174
11.305468620292428,1.1953734769144653,961.961
10.955468620292429,1.5453734769144658,963.963
9.852359910877862,0.9204011146543882,951.592
10.202359910877862,0.9204011146543882,948.974
9.852359910877862,1.2704011146543888,960.935
9.263156725187184,0.7735301939211885,981.928
9.613156725187183,0.7735301939211885,981.893
12.63193614484509,9.744377449479364,1177.72
3.850125663264501,6.546204989753722,1066.47
2.87949549424526,5.051478018786399,1024.71
2.494184249273435,5.113108925720572,1017.64
12.572917117226929,3.964500013156613,1139.65
10.466838471885062,3.9774524967873957,1129.89
9.627786230031376,9.023747423068379,1127.87
9.524596203049734,9.452167282581241,1116.81
1.9861154391937095,2.7193469149923426,978.912
1.6331855936204165,3.4975483216413417,1005.81
12.932075138781403,0.8302655269211718,942.731
5.154554716073324,12.602444823105165,1049.45
10.920176574679992,9.796348838862885,1111.96
4.640190350342081,13.659417032665095,1062.47
7.821966562329207,7.873826998131879,1110.27
10.280571727033069,-0.03282015429772778,1027.33
8.50983714406587,4.297626385803468,1133.48
11.40362721570474,6.546593642577517,1135.51
11.01062993306695,3.671340351738451,1156.95
11.340169735107503,16.124680840192724,1260.26
7.505689536441789,11.468391739752038,1146.46
0.1270812645352537,11.331286451404267,979.012
-3.216841495176171,2.802667487503585,998.152
15.861262679882609,5.639232646546416,1168.55
0.780367512577706,4.507209971938149,1010.24
0.4700020494218888,0.3168368919901704,1003.74
4.597748210972036,5.779595089712481,1060.67
7.196466312166869,4.834073678655994,1084.96
5.250795165891469,-4.219446582233251,1075.2
5.852552445242411,17.961868135344144,1098.13
8.722575241019431,14.992086708296315,1237.08
13.124242177471492,3.9044855117177373,1101.72
9.795053395334316,12.180675810206685,1171.75
10.293534377111412,12.698588506961364,1111.64
15.179770261637948,12.139495588293244,1279.15
12.257492677789534,12.163144016057188,1219.06
10.217665644688745,4.876398682464474,1118.19
