TP,SL,Balance
14.820900276719845,12.459771005609353,1055.16
10.457987801986249,4.541799784201272,931.074
14.073936933382146,9.506209213173138,1127.52
11.942606006620707,11.309818988648075,1156.76
23.67828977593325,26.566059354735252,782.689
17.40477920022449,28.476298274260206,671.827
29.34586708708305,23.030248105702217,661.314
16.37928023436786,25.035028095722254,966.811
20.165898863936416,26.978390261076758,753.167
24.231967005195635,27.23739491334742,696.854
18.457983875789594,19.639095767930343,745.311
28.812194993980974,15.225590436879354,716.794
25.4678489810387,26.74075463347711,831.273
25.70403017059833,19.88197949458557,703.517
29.461083515491552,23.658153439102144,646.188
16.830528112919264,27.233489005610416,888.066
29.466564744924142,15.467862671106095,814.602
22.199982056530153,27.313653358262997,680.795
19.9194726114747,29.171165789242806,637.134
29.24230762997814,20.300977824794426,675.594
17.781483781920745,27.287105712031455,652.904
19.997768395365632,18.969710120110985,704.741
28.003314632503688,29.247359277456052,677.473
21.477264894424508,28.344832898771195,690.674
26.862338742290476,16.482691234872462,856.968
15.824283303726784,15.255607413888029,1073.24
29.26637450192554,26.837258567283552,691.485
28.494550019765292,26.13310303598809,660.774
15.768583865358778,17.811803082859715,1105.59
26.26109910372325,24.537376349970337,824.899
25.009395117618084,27.798636841437972,726.501
18.32331619134707,25.8281960401244,584.928
20.76369474672702,17.580431387562857,767.305
18.316536867473058,15.192324053909505,788.48
27.171371524599913,16.31869255548318,859.879
18.0219472676109,19.141128866284358,850.928
22.955507102973577,28.775362222197355,668.617
25.22362402186117,28.061802323826704,752.212
28.644697386554896,28.622733001060737,571.787
26.677518479360188,15.163481268521263,876.675
20.158140701878644,27.045451735287138,741.308
24.110949497059046,21.81608328637279,612.897
15.001940858303268,25.32938595342952,1117.98
18.72672386997647,18.304993668158954,831.19
28.288764052155912,23.56343022698162,673.569
15.92840038449202,17.73082756168227,1063.68
15.471679978631283,24.991784434127403,1088.69
20.442739919428575,25.051279993968656,790.735
18.132029170379468,20.359127748446447,776.931
29.973400643230846,27.183590912812093,593.386
24.332282830922544,22.705882784895962,702.656
26.474007799768128,26.21586696374409,816.86
20.141732258767924,29.314782447090522,662.93
24.392253590384684,27.285641869609307,700.836
