Execution time of function: 0:34:54.663388
         3831791657 function calls (3407604323 primitive calls) in 1346.216 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     29/2    0.000    0.000    0.001    0.000 _parser.py:505(_parse)
        2    0.000    0.000    0.000    0.000 _parser.py:73(__init__)
       22    0.000    0.000    0.000    0.000 _parser.py:79(groups)
        8    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
        8    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
        2    0.000    0.000    0.000    0.000 _parser.py:946(fix_flags)
        1    0.000    0.000    0.000    0.000 _parser.py:96(checkgroup)
        2    0.000    0.000    0.001    0.000 _parser.py:962(parse)
        1    0.000    0.000    0.000    0.000 _parser.py:99(checklookbehindgroup)
        1    0.000    0.000    0.000    0.000 _strptime.py:238(pattern)
   864040    0.316    0.000    2.491    0.000 _strptime.py:26(_getlang)
        1    0.000    0.000    0.001    0.001 _strptime.py:261(compile)
   115504    0.080    0.000    0.090    0.000 _ufunc_config.py:132(geterr)
   115504    0.117    0.000    0.258    0.000 _ufunc_config.py:33(seterr)
    57752    0.007    0.000    0.007    0.000 _ufunc_config.py:426(__init__)
    57752    0.032    0.000    0.180    0.000 _ufunc_config.py:430(__enter__)
    57752    0.032    0.000    0.142    0.000 _ufunc_config.py:435(__exit__)
  1961271    0.610    0.000    0.875    0.000 _validators.py:226(validate_bool_kwarg)
        1    0.000    0.000    0.000    0.000 _validators.py:450(check_dtype_backend)
        4    0.000    0.000    0.000    0.000 algorithms.py:1211(take)
    28876    0.042    0.000    0.070    0.000 api.py:106(_get_distinct_objs)
    28876    0.055    0.000    0.742    0.000 api.py:120(_get_combined_index)
    28876    0.079    0.000    0.355    0.000 api.py:202(union_indexes)
    28876    0.033    0.000    0.059    0.000 api.py:258(_find_common_index_dtype)
    57752    0.013    0.000    0.035    0.000 api.py:311(<genexpr>)
    28876    0.031    0.000    0.033    0.000 api.py:323(_sanitize_and_check)
   864040    0.538    0.000    1.546    0.000 api.py:379(default_index)
    28876    0.028    0.000    0.796    0.000 api.py:72(get_objs_combined_axis)
    57752    0.061    0.000    0.228    0.000 array_ops.py:191(_na_arithmetic_op)
    57752    0.065    0.000    0.404    0.000 array_ops.py:242(arithmetic_op)
    57752    0.046    0.000    0.058    0.000 array_ops.py:509(maybe_prepare_scalar_for_op)
    57752    0.010    0.000    0.010    0.000 array_ops.py:590(_bool_arith_check)
    28876    0.011    0.000    1.791    0.000 arraylike.py:188(__radd__)
    28876    0.014    0.000    1.987    0.000 arraylike.py:200(__mul__)
    28876    0.076    0.000    2.012    0.000 arraylike.py:253(array_ufunc)
    28876    0.006    0.000    0.006    0.000 arraylike.py:415(_standardize_out_kwarg)
    28878    0.012    0.000    0.019    0.000 astype.py:250(astype_is_view)
  1903520    0.949    0.000    5.256    0.000 base.py:1009(view)
        4    0.000    0.000    0.000    0.000 base.py:1138(take)
   937324    0.137    0.000    0.137    0.000 base.py:1168(_maybe_disallow_fill)
    28876    0.030    0.000    0.250    0.000 base.py:1242(copy)
    57752    0.225    0.000    3.693    0.000 base.py:1370(_arith_method)
  3978120    0.515    0.000    0.515    0.000 base.py:1656(name)
    28876    0.051    0.000    0.117    0.000 base.py:1682(_validate_names)
   144380    0.052    0.000    0.070    0.000 base.py:1750(_get_names)
    28876    0.039    0.000    0.111    0.000 base.py:1753(_set_names)
    28876    0.049    0.000    0.355    0.000 base.py:1794(set_names)
        2    0.000    0.000    0.000    0.000 base.py:1953(nlevels)
  1830237    0.545    0.000    0.752    0.000 base.py:2292(is_unique)
  1961274    0.723    0.000    7.957    0.000 base.py:2723(inferred_type)
  1961274    0.311    0.000    1.674    0.000 base.py:2755(_is_multi)
        1    0.000    0.000    0.000    0.000 base.py:2773(_na_value)
    28876    0.003    0.000    0.003    0.000 base.py:292(_consolidate_inplace)
 10777208    2.408    0.000    4.455    0.000 base.py:301(array)
   864042    0.077    0.000    0.077    0.000 base.py:363(ndim)
  8156160    4.761    0.000   15.327    0.000 base.py:3762(get_loc)
   981784    0.127    0.000    0.187    0.000 base.py:3794(<genexpr>)
  1932396    5.261    0.000   77.993    0.000 base.py:3858(get_indexer)
  1932396    2.219    0.000   12.241    0.000 base.py:3944(_get_indexer)
  1932396    0.910    0.000    1.137    0.000 base.py:3989(_check_indexing_method)
